,Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.2863,"unknown, vehicle, window, smash, side, break, rear, hard, pass, driver", unknown suspect smashed victims windows front passanger side front driver side rear driver side rear passanger side and rear window with unknown sharp obj 
1,1.0,0.2652,"suspect, vehicle, victim, damage, throw, drive, car, fire, scratch, vandalize", suspect threw eggs at the exterior of victims residence causing deliberate aand malisicous damage to the exteriors of victims painted stucco and wood trim 
2,2.0,0.2987,"victim, suspect, make, card, permission, check, info, money, credit, personal", victim received fraudulent check in mail and deposited check victim then withdrew funds and purchased money cards apd sent pin nrs in the mail check bou 
3,3.0,0.1832,"suspect, victim, flee, vict, scene, reach, frm, screwdriver, removed, forcibly", suspect apprchd victim strtd yellng at her suspect then strtd pshng victim hrd on her shldrs victim was tryng to walk away suspect fled bk to class 
4,4.0,0.2713,"suspect, victim, verbal, argument, dispute, order, involve, angry, engage, child", suspect and victim were dating for 5 months victim ended relationship due to suspect aggressive behavior victim got a restraning order against suspect suspect violated restraining order and 
5,5.0,0.2265,"property, unknown, remove, flee, location, enter, direction, room, vic, unsecured", suspect entered unsecured hotel conference room removed property camera equipmentbelonging to victim and v2 from room and then fled in unknown direction with victims property 
6,6.0,0.2854,"suspect, victim, lock, leave, return, cut, bike, park, secure, discover", victim secured her bike to her apt building bike rack with chain victim returned to bike rack and discovered the chain cut and her bike missing 
7,7.0,0.2029,"unknown, flee, location, property, suspect, dir, direction, remove, rmvd, ent", unknown suspects used unknown obj to unlock vehs passenger door unknown suspects ent vehicle and rem vits property unknown suspects fled the location in an unknown dir w victims property 
8,8.0,0.2688,"victim, face, punch, suspect, time, strike, grab, hit, foot, hand", suspect hit victim with closed fist multp times causing lacerations to head and face and knocking victim to the ground suspect kicked victim and hit w broomstick 
9,9.0,0.2641,"victim, suspect, state, phone, call, kill, demand, threaten, fear, knife", suspect has sent pictures of her holding an assult riffle via email to victim emails has stated bitch im gonna get you causing victim fear suspect gang affiliate 
10,10.0,0.2722,"door, open, property, enter, remove, unknown, gain, entry, front, resid", unknown suspects pried open side garage door entered and opened unlocked bedroom door and gained entry into residence suspect ransacked resid removed property 
11,11.0,0.3194,"suspect, item, store, pay, exit, business, entered, walk, purse, attempt", suspect entered store selected items placed items in a backpack and purse paid for one item exited store failing to pay for items hidden in bags 
